date;dia;mês;ano;var
2020-09-03;3;9;2020;834
2020-09-04;4;9;2020;888
2020-09-05;5;9;2020;701
2020-09-06;6;9;2020;447
2020-09-07;7;9;2020;310
2020-09-08;8;9;2020;504
2020-09-09;9;9;2020;1075
2020-09-10;10;9;2020;983
2020-09-11;11;9;2020;874
2020-09-12;12;9;2020;814
2020-09-13;13;9;2020;415
2020-09-14;14;9;2020;381
2020-09-15;15;9;2020;1113
2020-09-16;16;9;2020;987
2020-09-17;17;9;2020;829
2020-09-18;18;9;2020;858
2020-09-19;19;9;2020;739
2020-09-20;20;9;2020;363
2020-09-21;21;9;2020;377
2020-09-22;22;9;2020;833
2020-09-23;23;9;2020;0
2020-09-24;24;9;2020;1703
2020-09-25;25;9;2020;729
2020-09-26;26;9;2020;869
2020-09-27;27;9;2020;335
2020-09-28;28;9;2020;317
2020-09-29;29;9;2020;863
2020-09-30;30;9;2020;1031
2020-10-01;1;10;2020;728
2020-10-02;2;10;2020;0
2020-10-03;3;10;2020;1307
2020-10-04;4;10;2020;365
2020-10-05;5;10;2020;323
2020-10-06;6;10;2020;819
2020-10-07;7;10;2020;734
2020-10-08;8;10;2020;729
2020-10-09;9;10;2020;682
2020-10-10;10;10;2020;559
2020-10-11;11;10;2020;290
2020-10-12;12;10;2020;201
2020-10-13;13;10;2020;309
2020-10-14;14;10;2020;749
2020-10-15;15;10;2020;713
2020-10-16;16;10;2020;754
2020-10-17;17;10;2020;461
2020-10-18;18;10;2020;0
2020-10-19;19;10;2020;501
2020-10-20;20;10;2020;661
2020-10-21;21;10;2020;566
2020-10-22;22;10;2020;497
2020-10-23;23;10;2020;571
2020-10-24;24;10;2020;432
2020-10-25;25;10;2020;231
2020-10-26;26;10;2020;263
2020-10-27;27;10;2020;549
2020-10-28;28;10;2020;510
2020-10-29;29;10;2020;531
2020-10-30;30;10;2020;508
2020-10-31;31;10;2020;407
2020-11-01;1;11;2020;190
2020-11-02;2;11;2020;179
2020-11-03;3;11;2020;243
2020-11-04;4;11;2020;610
2020-11-05;5;11;2020;0
2020-11-06;6;11;2020;909
2020-11-07;7;11;2020;254
2020-11-08;8;11;2020;128
2020-11-09;9;11;2020;231
2020-11-10;10;11;2020;174
2020-11-11;11;11;2020;566
2020-11-12;12;11;2020;913
2020-11-13;13;11;2020;456
2020-11-14;14;11;2020;921
2020-11-15;15;11;2020;140
2020-11-16;16;11;2020;216
2020-11-17;17;11;2020;685
2020-11-18;18;11;2020;756
2020-11-19;19;11;2020;606
2020-11-20;20;11;2020;552
2020-11-21;21;11;2020;376
2020-11-22;22;11;2020;194
2020-11-23;23;11;2020;302
2020-11-24;24;11;2020;630
2020-11-25;25;11;2020;654
2020-11-26;26;11;2020;691
2020-11-27;27;11;2020;514
2020-11-28;28;11;2020;587
2020-11-29;29;11;2020;272
2020-11-30;30;11;2020;287
2020-12-01;1;12;2020;697
2020-12-02;2;12;2020;698
2020-12-03;3;12;2020;755
2020-12-04;4;12;2020;694
2020-12-05;5;12;2020;664
2020-12-06;6;12;2020;313
2020-12-07;7;12;2020;376
2020-12-08;8;12;2020;842
2020-12-09;9;12;2020;836
2020-12-10;10;12;2020;770
2020-12-11;11;12;2020;672
2020-12-12;12;12;2020;686
2020-12-13;13;12;2020;279
2020-12-14;14;12;2020;433
2020-12-15;15;12;2020;964
2020-12-16;16;12;2020;936
2020-12-17;17;12;2020;1092
2020-12-18;18;12;2020;823
2020-12-19;19;12;2020;706
2020-12-20;20;12;2020;408
2020-12-21;21;12;2020;527
2020-12-22;22;12;2020;968
2020-12-23;23;12;2020;961
2020-12-24;24;12;2020;762
2020-12-25;25;12;2020;506
2020-12-26;26;12;2020;307
2020-12-27;27;12;2020;344
2020-12-28;28;12;2020;431
2020-12-29;29;12;2020;1111
2020-12-30;30;12;2020;1194
2020-12-31;31;12;2020;1074
2021-01-01;1;1;2021;462
2021-01-02;2;1;2021;314
2021-01-03;3;1;2021;293
2021-01-04;4;1;2021;543
2021-01-05;5;1;2021;1171
2021-01-06;6;1;2021;1242
2021-01-07;7;1;2021;1524
2021-01-08;8;1;2021;962
2021-01-09;9;1;2021;1171
2021-01-10;10;1;2021;469
2021-01-11;11;1;2021;480
2021-01-12;12;1;2021;1110
2021-01-13;13;1;2021;1274
2021-01-14;14;1;2021;1131
2021-01-15;15;1;2021;1151
2021-01-16;16;1;2021;1050
2021-01-17;17;1;2021;551
2021-01-18;18;1;2021;452
2021-01-19;19;1;2021;1192
2021-01-20;20;1;2021;1340
2021-01-21;21;1;2021;1316
2021-01-22;22;1;2021;1096
2021-01-23;23;1;2021;1202
2021-01-24;24;1;2021;592
2021-01-25;25;1;2021;627
2021-01-26;26;1;2021;1214
2021-01-27;27;1;2021;1283
2021-01-28;28;1;2021;1386
2021-01-29;29;1;2021;1119
2021-01-30;30;1;2021;1279
2021-01-31;31;1;2021;559
2021-02-01;1;2;2021;595
2021-02-02;2;2;2021;1210
2021-02-03;3;2;2021;1254
2021-02-04;4;2;2021;1232
2021-02-05;5;2;2021;1239
2021-02-06;6;2;2021;0
2021-02-07;7;2;2021;1500
2021-02-08;8;2;2021;0
2021-02-09;9;2;2021;1986
2021-02-10;10;2;2021;1330
2021-02-11;11;2;2021;1351
2021-02-12;12;2;2021;1288
2021-02-13;13;2;2021;1043
2021-02-14;14;2;2021;713
2021-02-15;15;2;2021;528
2021-02-16;16;2;2021;1167
2021-02-17;17;2;2021;1150
2021-02-18;18;2;2021;1367
2021-02-19;19;2;2021;1280
2021-02-20;20;2;2021;1240
2021-02-21;21;2;2021;527
2021-02-22;22;2;2021;639
2021-02-23;23;2;2021;1386
2021-02-24;24;2;2021;1428
2021-02-25;25;2;2021;1541
2021-02-26;26;2;2021;1337
2021-02-27;27;2;2021;1386
2021-02-28;28;2;2021;721
2021-03-01;1;3;2021;778
2021-03-02;2;3;2021;1641
2021-03-03;3;3;2021;1910
2021-03-04;4;3;2021;1699
2021-03-05;5;3;2021;1800
2021-03-06;6;3;2021;1555
2021-03-07;7;3;2021;1086
2021-03-08;8;3;2021;987
2021-03-09;9;3;2021;1972
2021-03-10;10;3;2021;2286
2021-03-11;11;3;2021;2233
2021-03-12;12;3;2021;2216
2021-03-13;13;3;2021;1997
2021-03-14;14;3;2021;1127
2021-03-15;15;3;2021;1057
2021-03-16;16;3;2021;2841
2021-03-17;17;3;2021;2648
2021-03-18;18;3;2021;2724
2021-03-19;19;3;2021;2815
2021-03-20;20;3;2021;2438
2021-03-21;21;3;2021;1290
2021-03-22;22;3;2021;1383
2021-03-23;23;3;2021;3251
2021-03-24;24;3;2021;2009
2021-03-25;25;3;2021;2777
2021-03-26;26;3;2021;3650
2021-03-27;27;3;2021;3438
2021-03-28;28;3;2021;1656
2021-03-29;29;3;2021;1660
2021-03-30;30;3;2021;3780
2021-03-31;31;3;2021;3869
